file,has_custom_behavior,mock_apis
test/integration/conflictResolution.integration.test.ts,20,Uri|commands|fs.|window|workspace
test/integration/storage/StorageManager.integration.test.ts,7,Uri|fs.|workspace
test/integration/rollbackCapability.integration.test.ts,28,Uri|commands|fs.|window|workspace
test/integration/protection/protection-delegation.test.ts,28,Uri|fs.|workspace
test/integration/gitAnalysis.integration.test.ts,19,Uri|authentication|commands|fs.|window|workspace
test/integration/telemetry.integration.test.ts,7,workspace
test/integration/recoveryScenarios.integration.test.ts,40,Uri|commands|fs.|window|workspace
test/integration/core-functionality.integration.test.ts,7,Uri|commands|window|workspace
test/integration/snapBack.integration.test.ts,13,window|workspace
test/integration/progressTracker.integration.test.ts,1,window
test/integration/extension-activation.integration.test.ts,5,Uri|commands|extensions|window|workspace
test/performance/save-handler.performance.test.ts,4,commands|fs.|window|workspace
test/performance/config.performance.test.ts,6,commands|fs.|window|workspace
test/e2e/telemetry.e2e.test.ts,15,window|workspace
test/e2e/dismissSimilarNotifications.e2e.test.ts,0
0,window
